code,name,category,department,price_php,price_band,colors,attributes,flag,page
MED-001-01,"Training Manikins set, Adult, full body",Medical & Clinic Equipment,Medical,43470,premium,,"{""size_class"": ""adult""}",,18
MED-001-02,"Minor surgical instrument (Thumb forceps, Tooth forceps, Surgical scissors, bandage scissors, needle holder)",Medical & Clinic Equipment,Medical,4020,mid-range,,{},,18
MED-001-03,Hearing aid,Medical & Clinic Equipment,Medical,770,standard,,{},,18
MED-001-04,Stethoscope (Dual Head),Medical & Clinic Equipment,Medical,2100,mid-range,,{},,18
MED-001-05,"Urinal (Material: stainless, Quantity: 1pc/type)",Medical & Clinic Equipment,Medical,660,standard,,"{""pack_quantity"": ""1 pcs per type"", ""material"": ""Stainless""}",,18
MED-001-06,"Hospital Rubber Sheet (Material: Rubber, Color: Multicolor Size: 80 x 160 cm) 1 meter",Medical & Clinic Equipment,Medical,650,standard,,"{""size"": ""80 X 160 CM"", ""material"": ""Rubber""}",,18
MED-001-07,"Hospital Draw Sheet (Material: Cotton: Color: Green: Size: 90 x 180 cm) - 55x75""",Medical & Clinic Equipment,Medical,450,budget,,"{""size"": ""90 X 180 CM"", ""material"": ""Cotton""}",,18
MED-001-08,Foley Catheter for Adults - 10pcs per box,Medical & Clinic Equipment,Medical,390,budget,,"{""pack_quantity"": ""10 pcs per box"", ""size_class"": ""adult""}",,18
MED-001-09,"Drapes (Plain and fenestrated, containing an opening or window) 40cmx40cm",Medical & Clinic Equipment,Medical,110,budget,,{},,18
MED-001-10,"Urinal (Material: Plastic, Quantity: 1pc/type)",Medical & Clinic Equipment,Medical,60,budget,,"{""pack_quantity"": ""1 pcs per type"", ""material"": ""Plastic""}",,18
MED-001-11,Bedpan (no cover) (Material: Plastic Quantity: 1pc/type),Medical & Clinic Equipment,Medical,90,budget,,"{""pack_quantity"": ""1 pcs per type"", ""material"": ""Plastic""}",,18
MED-001-12,Walking cane,Medical & Clinic Equipment,Medical,470,budget,,{},,19
MED-001-13,Standard 2-button walker without wheels (aluminum),Medical & Clinic Equipment,Medical,1950,standard,,"{""material"": ""Aluminum""}",,19
MED-001-14,"Bedpan with cover (Material: stainless, Quantity: 1pc/type)",Medical & Clinic Equipment,Medical,2420,mid-range,,"{""pack_quantity"": ""1 pcs per type"", ""material"": ""Stainless""}",,19
MED-001-15,Ovum forceps (Foerster Sponge Forceps/Ovum Curved (Serrated Jaw) 9′′,Medical & Clinic Equipment,Medical,850,standard,,{},,19
MED-001-16,Belt grip Transfer Belt,Medical & Clinic Equipment,Medical,2790,mid-range,,{},,19
MED-001-17,Wheel Chair (Automatic),Medical & Clinic Equipment,Medical,30760,premium,,{},,19
MED-001-18,Wheel chair (manual),Medical & Clinic Equipment,Medical,6220,mid-range,,{},,19
FIR-001-11A,Fire Blanket (1.0X1.0),Fire Safety Equipment,Fire Safety,650,standard,,{},,5
FIR-001-11B,Fire Blanket (1.2X1.2),Fire Safety Equipment,Fire Safety,830,standard,,{},,5
FIR-001-11C,Fire Blanket (1.2X1.8),Fire Safety Equipment,Fire Safety,1000,standard,,{},,5
FIR-001-11D,Fire Blanket (1.5X1.5),Fire Safety Equipment,Fire Safety,1000,standard,,{},,5
FIR-001-11E,Fire Blanket (1.8X1.8),Fire Safety Equipment,Fire Safety,1000,standard,,{},,5
FIR-001-06,Auto Fire OFF,Fire Safety Equipment,Fire Safety,1040,standard,,{},,5
FIR-001-07,Fire Escape Mask,Fire Safety Equipment,Fire Safety,950,standard,,{},,5
FIR-001-13,Handle Alarm,Fire Safety Equipment,Fire Safety,1210,standard,,{},,5
FIR-001-14,Alarm Bell (ES-14A 12-24V / ES-14B-220V),Fire Safety Equipment,Fire Safety,1210,standard,,{},,5
FIR-001-15,LED Siren,Fire Safety Equipment,Fire Safety,860,standard,,{},,5
FIR-001-16,Fire Call Point,Fire Safety Equipment,Fire Safety,860,standard,,{},,5
FIR-001-17,Flash Alarm,Fire Safety Equipment,Fire Safety,460,budget,,{},,5
FIR-001-19,Smoke Alarm,Fire Safety Equipment,Fire Safety,950,standard,,{},,5
FIR-001-20,Smoke Detector SD-604PC,Fire Safety Equipment,Fire Safety,950,standard,,{},,5
FIR-001-21,Heat Alarm,Fire Safety Equipment,Fire Safety,950,standard,,{},,5
FIR-001-22,Smoke Alarm SD-426,Fire Safety Equipment,Fire Safety,860,standard,,{},,6
FIR-001-24,424 Standalone Smoke Detector With 220V,Fire Safety Equipment,Fire Safety,860,standard,,{},,6
FIR-001-29,Hand Operated Siren,Fire Safety Equipment,Fire Safety,3310,mid-range,,{},,6
FIR-001-30,Fire Proof Sprinkler,Fire Safety Equipment,Fire Safety,200,budget,,{},,6
FIR-001-31,Fire Sprinkler Head (475L),Fire Safety Equipment,Fire Safety,18040,premium,,"{""capacity_liters"": 475.0}",,6
FIR-001-31A,Fire Sprinkler Head (700L),Fire Safety Equipment,Fire Safety,21660,premium,,"{""capacity_liters"": 700.0}",,6
FIR-001-32,Crowbar,Fire Safety Equipment,Fire Safety,15330,premium,,{},,6
FIR-001-33,Fire AXE,Fire Safety Equipment,Fire Safety,1810,standard,,{},,6
FIR-001-34,SUN Flower Light,Fire Safety Equipment,Fire Safety,4830,mid-range,,{},,6
FIR-001-36,Bottle Fire Extinguisher,Fire Safety Equipment,Fire Safety,1050,standard,,{},,6
